longitude,latitude
130.4730,-51.4560
130.5226,-51.4588
130.5226,-51.4588
130.5722,-51.4615
130.6217,-51.4642
130.6217,-51.4642
130.6713,-51.4668
130.7209,-51.4695
130.7705,-51.4721
130.7705,-51.4721
130.8201,-51.4747
130.8697,-51.4773
130.9193,-51.4798
130.9193,-51.4798
130.9689,-51.4824
131.0185,-51.4849
131.0682,-51.4874
131.0682,-51.4874
131.1177,-51.4898
131.1674,-51.4923
131.1674,-51.4923
131.2170,-51.4947
131.2667,-51.4971
131.3163,-51.4995
131.3163,-51.4995
131.3660,-51.5018
131.4157,-51.5042
131.4653,-51.5065
131.4653,-51.5065
131.5150,-51.5087
131.5647,-51.5110
131.5647,-51.5110
131.6144,-51.5132
131.6640,-51.5154
131.7137,-51.5176
131.7137,-51.5176
131.7634,-51.5198
131.8131,-51.5220
131.8628,-51.5241
131.8628,-51.5241
131.9125,-51.5262
131.9622,-51.5282
132.0120,-51.5303
132.0120,-51.5303
132.0617,-51.5323
132.1114,-51.5343
132.1114,-51.5343
132.1612,-51.5363
132.2111,-51.5383
132.2610,-51.5402
132.2610,-51.5402
132.3109,-51.5422
132.3607,-51.5441
132.4104,-51.5459
132.4104,-51.5459
132.4602,-51.5478
132.5099,-51.5496
132.5597,-51.5514
132.5597,-51.5514
132.6095,-51.5532
132.6593,-51.5549
132.6593,-51.5549
132.7090,-51.5567
132.7588,-51.5584
132.8086,-51.5601
132.8086,-51.5601
132.8584,-51.5617
132.9083,-51.5634
132.9581,-51.5650
132.9581,-51.5650
133.0079,-51.5666
133.0576,-51.5682
133.0576,-51.5682
133.1075,-51.5697
133.1573,-51.5712
133.2071,-51.5728
133.2071,-51.5728
133.2569,-51.5742
133.3067,-51.5757
133.3566,-51.5771
133.3566,-51.5771
133.4064,-51.5785
133.4562,-51.5799
133.5061,-51.5813
133.5061,-51.5813
133.5559,-51.5826
133.6057,-51.5840
133.6057,-51.5840
133.6556,-51.5853
133.7054,-51.5865
133.7553,-51.5878
133.7553,-51.5878
133.8052,-51.5890
133.8550,-51.5902
133.9049,-51.5914
133.9049,-51.5914
133.9547,-51.5926
134.0046,-51.5937
134.0545,-51.5948
134.0545,-51.5948
134.1043,-51.5959
134.1543,-51.5970
134.1543,-51.5970
134.2041,-51.5980
134.2540,-51.5990
134.3039,-51.6000
134.3039,-51.6000
134.3538,-51.6010
134.4037,-51.6020
134.4535,-51.6029
134.4535,-51.6029
134.5034,-51.6038
134.5533,-51.6047
134.5533,-51.6047
134.6032,-51.6056
134.6531,-51.6064
134.7030,-51.6072
134.7030,-51.6072
134.7529,-51.6080
134.8028,-51.6088
134.8527,-51.6095
134.8527,-51.6095
134.9027,-51.6102
134.9526,-51.6109
134.9526,-51.6109
135.0025,-51.6116
135.0525,-51.6123
135.1024,-51.6129
135.1024,-51.6129
135.1523,-51.6135
135.2022,-51.6141
135.2521,-51.6147
135.2521,-51.6147
135.3020,-51.6152
135.3519,-51.6157
135.4018,-51.6162
135.4018,-51.6162
135.4518,-51.6167
135.5017,-51.6171
135.5017,-51.6171
135.5516,-51.6176
135.6015,-51.6180
135.6515,-51.6183
135.6515,-51.6183
135.7014,-51.6187
135.7513,-51.6190
135.8012,-51.6193
135.8012,-51.6193
135.8511,-51.6196
135.9011,-51.6199
135.9011,-51.6199
135.9510,-51.6201
136.0009,-51.6203
136.0508,-51.6205
136.0508,-51.6205
136.1008,-51.6207
136.1507,-51.6208
136.2007,-51.6210
136.2007,-51.6210
136.2506,-51.6211
136.3005,-51.6212
136.3005,-51.6212
136.3505,-51.6212
136.4004,-51.6212
136.4504,-51.6213
136.4504,-51.6213
136.5003,-51.6212
136.5502,-51.6212
136.6001,-51.6211
136.6001,-51.6211
136.6500,-51.6211
136.6999,-51.6210
136.7499,-51.6208
136.7499,-51.6208
136.7998,-51.6207
136.8497,-51.6205
136.8497,-51.6205
136.8996,-51.6203
136.9496,-51.6201
136.9995,-51.6198
136.9995,-51.6198
137.0494,-51.6196
137.0993,-51.6193
137.1492,-51.6190
137.1492,-51.6190
137.1991,-51.6186
137.2490,-51.6183
137.2989,-51.6179
137.2989,-51.6179
137.3489,-51.6175
137.3988,-51.6171
137.3988,-51.6171
137.4487,-51.6166
137.4987,-51.6162
137.5486,-51.6157
137.5486,-51.6157
137.5986,-51.6151
137.6485,-51.6146
137.6983,-51.6140
137.6983,-51.6140
137.7483,-51.6134
137.7982,-51.6128
137.8481,-51.6122
137.8481,-51.6122
137.8980,-51.6115
137.9479,-51.6109
137.9479,-51.6109
137.9978,-51.6102
138.0477,-51.6094
138.0977,-51.6087
138.0977,-51.6087
138.1476,-51.6079
138.1975,-51.6071
138.2474,-51.6063
138.2474,-51.6063
138.3146,-51.6058
138.3645,-51.6049
138.4144,-51.6040
138.4144,-51.6040
138.4643,-51.6031
138.5142,-51.6022
138.5641,-51.6012
138.5641,-51.6012
138.6140,-51.6002
138.6639,-51.5992
138.6639,-51.5992
138.7138,-51.5982
138.7637,-51.5971
138.8135,-51.5961
138.8135,-51.5961
138.8634,-51.5950
138.9133,-51.5938
138.9632,-51.5927
138.9632,-51.5927
139.0130,-51.5915
139.0629,-51.5903
139.1127,-51.5891
139.1127,-51.5891
139.1626,-51.5879
139.2124,-51.5866
139.2124,-51.5866
139.2622,-51.5853
139.3121,-51.5840
139.3620,-51.5827
139.3620,-51.5827
139.4118,-51.5813
139.4617,-51.5799
139.5115,-51.5785
139.5115,-51.5785
139.5614,-51.5771
139.6112,-51.5757
139.6112,-51.5757
139.6610,-51.5742
139.7108,-51.5727
139.7607,-51.5712
139.7607,-51.5712
139.8105,-51.5696
139.8603,-51.5681
139.9102,-51.5665
139.9102,-51.5665
139.9599,-51.5649
140.0097,-51.5632
140.0595,-51.5616
140.0595,-51.5616
140.1093,-51.5599
140.1590,-51.5582
140.2088,-51.5565
140.2088,-51.5565
140.2586,-51.5548
140.3084,-51.5530
140.3084,-51.5530
140.3582,-51.5512
140.4080,-51.5494
140.4577,-51.5475
140.4577,-51.5475
140.5075,-51.5457
140.5572,-51.5438
140.6070,-51.5419
140.6070,-51.5419
140.6568,-51.5400
140.7065,-51.5380
140.7065,-51.5380
140.7563,-51.5360
140.8060,-51.5340
140.8557,-51.5320
140.8557,-51.5320
140.9055,-51.5300
140.9552,-51.5279
141.0049,-51.5258
141.0049,-51.5258
141.0547,-51.5237
141.1044,-51.5216
141.1541,-51.5194
141.1541,-51.5194
141.2038,-51.5172
141.2534,-51.5150
141.2534,-51.5150
141.3031,-51.5128
141.3528,-51.5106
141.4025,-51.5083
141.4025,-51.5083
141.4522,-51.5060
141.5019,-51.5037
141.5515,-51.5014
141.5515,-51.5014
141.6012,-51.4990
141.6509,-51.4966
141.7005,-51.4942
141.7005,-51.4942
141.7502,-51.4918
141.7998,-51.4893
141.8495,-51.4868
141.8495,-51.4868
141.8991,-51.4843
141.9487,-51.4818
141.9487,-51.4818
141.9983,-51.4793
142.0479,-51.4767
142.0975,-51.4741
142.0975,-51.4741
142.1471,-51.4715
142.1967,-51.4689
142.2463,-51.4662
142.2463,-51.4662
142.2958,-51.4635
142.3454,-51.4608
142.3454,-51.4608
142.3950,-51.4581
142.4445,-51.4553
142.4941,-51.4526
142.4941,-51.4526
142.5437,-51.4498
142.5932,-51.4470
142.6427,-51.4441
142.6427,-51.4441
142.6922,-51.4413
142.7417,-51.4384
142.7912,-51.4355
142.7912,-51.4355
142.8408,-51.4325
142.8902,-51.4296
142.8902,-51.4296
142.9397,-51.4266
142.9892,-51.4236
143.0387,-51.4206
143.0387,-51.4206
143.0881,-51.4175
143.1376,-51.4145
143.1871,-51.4114
143.1871,-51.4114
143.2365,-51.4083
143.2859,-51.4051
143.3353,-51.4020
143.3353,-51.4020
143.3848,-51.3988
143.4342,-51.3956
143.4837,-51.3924
143.4837,-51.3924
143.5331,-51.3891
143.5825,-51.3859
143.5825,-51.3859
143.6319,-51.3826
143.6813,-51.3793
143.7307,-51.3759
143.7307,-51.3759
143.7802,-51.3725
143.8296,-51.3692
143.8789,-51.3658
143.8789,-51.3658
143.9283,-51.3623
143.9776,-51.3589
144.0270,-51.3554
144.0270,-51.3554
144.0763,-51.3519
144.1256,-51.3484
144.1750,-51.3448
144.1750,-51.3448
144.2243,-51.3413
144.2736,-51.3377
144.2736,-51.3377
144.3229,-51.3341
144.3722,-51.3305
144.4214,-51.3268
144.4214,-51.3268
144.4707,-51.3231
144.5199,-51.3194
144.5692,-51.3157
144.5692,-51.3157
144.6184,-51.3120
144.6676,-51.3082
144.6676,-51.3082
144.7168,-51.3044
144.7661,-51.3006
144.8153,-51.2968
144.8153,-51.2968
144.8645,-51.2929
144.9136,-51.2890
144.9627,-51.2851
144.9627,-51.2851
145.0119,-51.2812
145.0611,-51.2773
145.1102,-51.2733
145.1102,-51.2733
145.1593,-51.2693
145.2085,-51.2653
145.2576,-51.2613
145.2576,-51.2613
145.3067,-51.2572
145.4049,-51.2490
145.4049,-51.2490
145.4539,-51.2449
145.5030,-51.2408
145.5520,-51.2366
145.5520,-51.2366
145.6011,-51.2324
145.6502,-51.2282
145.6992,-51.2240
145.6992,-51.2240
145.7482,-51.2197
145.7972,-51.2154
145.7972,-51.2154
145.8463,-51.2111
145.8953,-51.2068
145.9443,-51.2024
145.9443,-51.2024
145.9932,-51.1981
146.0422,-51.1937
146.0912,-51.1893
146.0912,-51.1893
146.1401,-51.1848
146.1890,-51.1804
146.2380,-51.1759
146.2380,-51.1759
146.2869,-51.1714
146.3358,-51.1669
146.3847,-51.1623
146.3847,-51.1623
146.4336,-51.1578
146.4825,-51.1532
146.4825,-51.1532
146.5314,-51.1485
146.5802,-51.1439
146.6290,-51.1393
146.6290,-51.1393
146.6779,-51.1346
146.7267,-51.1299
146.7755,-51.1252
146.7755,-51.1252
146.8243,-51.1204
146.8731,-51.1156
146.9219,-51.1108
146.9219,-51.1108
146.9707,-51.1060
147.0195,-51.1012
147.0682,-51.0963
147.0682,-51.0963
147.1170,-51.0915
147.1657,-51.0866
147.1657,-51.0866
147.2144,-51.0816
147.2631,-51.0767
147.3118,-51.0717
147.3118,-51.0717
147.3605,-51.0667
147.4092,-51.0617
147.4578,-51.0567
147.4578,-51.0567
147.5065,-51.0516
147.5552,-51.0466
147.5552,-51.0466
147.6038,-51.0415
147.6524,-51.0364
147.7010,-51.0312
147.7010,-51.0312
147.7496,-51.0260
147.7982,-51.0209
147.8468,-51.0156
147.8468,-51.0156
147.8954,-51.0104
147.9439,-51.0052
147.9925,-50.9999
147.9925,-50.9999
148.0410,-50.9946
148.0895,-50.9893
148.1380,-50.9839
148.1380,-50.9839
148.1865,-50.9786
148.2350,-50.9732
148.2350,-50.9732
148.2835,-50.9678
148.3320,-50.9623
148.3804,-50.9569
148.3804,-50.9569
148.4288,-50.9514
148.4773,-50.9459
148.5257,-50.9404
148.5257,-50.9404
148.5741,-50.9349
148.6225,-50.9293
148.6709,-50.9237
148.6709,-50.9237
148.7193,-50.9181
148.7676,-50.9125
148.8159,-50.9069
148.8159,-50.9069
148.8643,-50.9012
148.9126,-50.8955
148.9126,-50.8955
148.9609,-50.8898
149.0092,-50.8841
149.0574,-50.8783
149.0574,-50.8783
149.1057,-50.8725
149.1540,-50.8667
149.2022,-50.8609
149.2022,-50.8609
149.2504,-50.8551
149.2987,-50.8492
149.3469,-50.8433
